region,Year1990,Year2000,Year2010,title
World,35.3,37.6,39.6,Share of Women In Wage Employment
  Developing Regions,29.1,31.8,34.2,
    Northern Africa,19.2,18.9,19.1,
    Sub-Saharan Africa,23.7,27.8,32.5,
    Latin America and the Caribbean,38.1,41.9,44.2,
    Eastern Asia,38.1,39.7,42.1,
    Southern Asia,13.5,17.1,19.5,
    South-Eastern Asia,34.6,36.9,38.6,
    Western Asia,14.9,16.9,19.1,
    Oceania,33.1,35.6,37.2,
    Caucasus and Central Asia,43.1,43.2,43.9,
  Developed Regions ,44.5,46.1,47.7,
